car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 44,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),631.0,,
Car 75,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",632.0,0,
Car 24,,,,34,,arrived,,arrived,633.0,,
Car 24,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),633.0,,
Car 75,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",638.4841350972821,4,
Car 75,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 1 (fid=33)",642.6355855352325,1,
Car 75,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),648.0446239789972,,
Car 43,59.0,8,2,,,done,,done charging,653.7789922197492,,289.25598788029225
Car 22,,,,3,,arrived,,arrived,664.0,,
Car 22,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 2 (fid=8)",665.0,2,
Car 22,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),668.409150285496,,
Car 44,48.0,11,4,,,done,,done charging,679.0,,317.86377328305974
Car 51,,,,30,,arrived,,arrived,698.0,,
Car 28,,,,81,,arrived,,arrived,699.0,,
Car 51,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",699.0,4,
Car 28,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",700.0,4,
Car 51,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),702.1514504379504,,
Car 42,,,,32,,arrived,,arrived,704.0,,
Car 42,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",705.0,5,
Car 28,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",705.7905060903597,0,
Car 42,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),706.9555428044466,,
Car 28,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",709.9419565283101,2,
Car 90,108.0,12,3,,,done,,done charging,716.0053861565455,,424.4406040922298
Car 28,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 5 (fid=47)",716.7071929423787,5,
Car 20,,,,63,,arrived,,arrived,718.0,,
Car 20,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 4 (fid=11)",719.0,4,
Car 28,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",723.1885874765474,1,
Car 20,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 5 (fid=47)",723.409150285496,5,
Car 28,,,,,,gave_up,1,"no alternate charger available, gave up",726.144130280994,,
Car 20,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",729.0626113110876,1,
Car 20,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",732.0181541155342,0,
Car 11,,,,124,,arrived,,arrived,736.0,,
Car 20,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",736.9252331502759,3,
Car 11,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",737.0,4,
Car 24,106.0,115,0,,,done,,done charging,739.0,,177.36135845965424
Car 75,92.0,33,1,,,done,,done charging,740.0446239789972,,565.4124671575452
Car 11,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 1 (fid=33)",741.1514504379504,1,
Car 22,73.0,8,2,,,done,,done charging,741.409150285496,,413.9336267823665
Car 20,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),742.409368247558,,
Car 11,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),746.5604888817151,,
Car 42,45.0,47,5,,,done,,done charging,751.9555428044466,,164.29544751981103
Car 4,,,,61,,arrived,,arrived,761.0,,
Car 4,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 2 (fid=8)",762.0,2,
Car 38,,,,29,,arrived,,arrived,764.0,,
Car 38,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),764.0,,
Car 51,63.0,11,4,,,done,,done charging,765.1514504379504,,191.44062058990968
Car 4,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),765.409150285496,,
Car 7,,,,48,,arrived,,arrived,778.0,,
Car 7,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),778.0,,
Car 40,,,,66,,arrived,,arrived,789.0,,
Car 40,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 4 (fid=11)",790.0,4,
Car 40,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),793.409150285496,,
Car 94,,,,26,,arrived,,arrived,808.0,,
Car 85,,,,25,,arrived,,arrived,809.0,,
Car 94,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",809.0,4,
Car 85,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",810.0,5,
Car 38,47.0,115,0,,,done,,done charging,811.0,,206.59404042544975
Car 85,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 0 (fid=115)",812.9555428044466,0,
Car 94,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 3 (fid=12)",813.1514504379504,3,
Car 85,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),817.1780661340933,,
Car 94,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",818.9419565283101,1,
Car 94,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",828.4692519050835,5,
Car 94,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 2 (fid=8)",831.4247947095301,2,
Car 26,,,,35,,arrived,,arrived,832.0,,
Car 26,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",833.0,4,
Car 26,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 3 (fid=12)",837.1514504379504,3,
Car 94,,,,,,gave_up,2,"no alternate charger available, gave up",837.9061892436988,,
Car 40,45.0,11,4,,,done,,done charging,838.409150285496,,358.4072287965269
Car 26,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",842.9419565283101,1,
Car 20,104.0,12,3,,,done,,done charging,846.409368247558,,688.4791553632599
Car 13,,,,82,,arrived,,arrived,849.0,,
Car 13,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),849.0,,
Car 26,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",852.4692519050835,5,
Car 26,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 2 (fid=8)",855.4247947095301,2,
Car 11,110.0,33,1,,,done,,done charging,856.5604888817151,,315.51202513662435
Car 93,,,,31,,arrived,,arrived,858.0,,
Car 93,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",859.0,1,
Car 93,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),860.9555428044466,,
Car 26,,,,,,gave_up,2,"no alternate charger available, gave up",861.9061892436988,,
Car 7,85.0,47,5,,,done,,done charging,863.0,,98.46545458802665
Car 33,,,,26,,arrived,,arrived,866.0,,
Car 33,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",867.0,5,
Car 33,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),868.9555428044466,,
Car 4,110.0,8,2,,,done,,done charging,875.409150285496,,347.727749068635
Car 69,,,,48,,arrived,,arrived,888.0,,
